1. What is a VPC used for in AWS?,Managing databases;Launching a serverless function;Creating a logically isolated network;Distributing content,Creating a logically isolated network
27. Which load balancer supports containerized applications?,Classic Load Balancer;Application Load Balancer;Network Load Balancer;None,Application Load Balancer
28. What does Amazon EC2 Auto Scaling **not** help with?,Automating instance creation;Monitoring CPU utilization;Balancing application traffic;Encrypting data,Encrypting data
29. Which AWS service is recommended for hosting containerized applications?,Amazon EC2;Amazon ECS;AWS Lambda;Amazon RDS,Amazon ECS
30. Which type of database is Amazon Aurora classified as?,Document database;Relational database;Graph database;Key-value database,Relational database
31. What is Amazon CloudWatch used for?,Monitoring AWS resources;Encrypting data;Scaling databases;Managing IAM policies,Monitoring AWS resources
32. Which AWS service allows for fault-tolerant&c secure communication between VPCs?,AWS Direct Connect;VPC Peering;AWS VPN;AWS Shield,VPC Peering
33. Which of the following services is **not** suitable for auto-scaling?,Amazon EC2;AWS Lambda;Amazon RDS;Amazon CloudFront,Amazon CloudFront
34. What type of scaling adjusts resource levels based on past usage patterns?,Dynamic scaling;Predictive scaling;Manual scaling;Scheduled scaling,Predictive scaling
35. What storage solution would you use for high-performance computing requiring block storage?,Amazon EFS;Amazon S3;Amazon Glacier;Amazon EBS,Amazon EBS
36. Which service supports real-time notifications and alerts based on resource performance?,AWS CloudTrail;Amazon CloudWatch;AWS Lambda;Amazon RDS,Amazon CloudWatch
37. What is a key feature of Amazon EFS?,Object storage;Supports NFS protocols;High latency;Supports long-term archiving,Supports NFS protocols
38. Which Amazon S3 storage class is the lowest cost option for long-term data archiving?,S3 Glacier Deep Archive;S3 Standard-IA;S3 Intelligent-Tiering;S3 Deep Archive,S3 Glacier Deep Archive
39. Which scaling strategy uses alarms to adjust EC2 instance counts dynamically?,Manual scaling;Scheduled scaling;Dynamic scaling;Predictive scaling,Dynamic scaling
40. What AWS service provides a managed environment for running Docker containers?,AWS Lambda;AWS Fargate;Amazon EC2;Amazon ECR,AWS Fargate
41. Which load balancer supports handling spiky and unpredictable TCP traffic?,Application Load Balancer;Network Load Balancer;Classic Load Balancer;Elastic Load Balancer,Network Load Balancer
42. What does Amazon CloudWatch **not** monitor?,AWS EC2 instances;Custom metrics;User logins;Elastic Load Balancers,User logins
43. Which AWS service is recommended for setting up alarms when resource thresholds are crossed?,Amazon Route 53;AWS CloudTrail;AWS CloudWatch;Amazon EC2,AWS CloudWatch
44. Which AWS storage service allows for direct integration with Amazon S3 for long-term archiving?,Amazon EBS;Amazon DynamoDB;Amazon Glacier;Amazon EFS,Amazon Glacier
45. What is the main function of AWS Elastic Load Balancing?,Monitoring user activity;Encrypting application data;Distributing incoming traffic;Managing IAM policies,Distributing incoming traffic
46. Which AWS service can route traffic based on the location of users?,AWS CloudFront;Amazon S3;AWS Direct Connect;Amazon Route 53,Amazon Route 53
47. What service is best for automatically balancing traffic across EC2 instances?,AWS Lambda;AWS Auto Scaling;Amazon CloudFront;Elastic Load Balancing,Elastic Load Balancing
48. Which feature of Amazon CloudWatch can initiate auto-scaling actions?,Logs;Events;Alarms;Snapshots,Alarms
49. Which AWS service should you use for a database that supports petabyte-scale data warehousing?,Amazon RDS;Amazon Redshift;Amazon S3;Amazon DynamoDB,Amazon Redshift
50. Which AWS service is designed to automatically manage compute resources based on rules and alarms?,Amazon S3;Amazon RDS;Amazon EC2 Auto Scaling;AWS Shield,Amazon EC2 Auto Scaling
