M2-5. What is a key benefit of reserved instances?,Reduced scalability;Higher up-front costs;Cost savings;On-demand use,Cost savings
M2-6. How is outbound data transfer charged?,Per instance;Per region;Per GB;Per hour,Per GB
M2-7. What is the fundamental pricing driver for compute resources?,Compute per hour/second&c instance type;Data transfer;Memory usage;Storage capacity,Compute per hour/second&c instance type
M2-8. What type of report provides daily usage insights for AWS resources?,AWS Cost Explorer;AWS Pricing Calculator;AWS Cost and Usage Report;AWS IAM,AWS Cost and Usage Report
M2-8. What AWS feature helps track and manage budgets?,AWS CloudTrail;AWS Billing Dashboard;AWS Budgets;AWS Lambda,AWS Budgets
M2-10. How do savings increase when using more of certain AWS services?,Flat-rate pricing;Volume-based discounts;No additional discounts;One-time discounts,Volume-based discounts
M2-11. Which AWS service helps analyze and visualize cost data?,AWS IAM;AWS EC2;AWS CloudWatch;AWS Cost Explorer,AWS Cost Explorer
M2-12. What type of AWS pricing gives you the flexibility to pay less by using more?,Volume-based;Reserved Instances;On-Demand;Savings Plans,Volume-based
M2-13. What AWS tool provides a detailed breakdown of costs by service?,AWS CloudWatch;AWS Budgets;AWS Cost and Usage Report;AWS Lambda,AWS Cost and Usage Report
M2-14. Which AWS pricing model is best suited for short-term workloads?,On-Demand;Savings Plans;Reserved Instances;Spot Instances,On-Demand
M2-15. What is the key factor to consider when setting up AWS Organizations for billing?,SLA terms;Account visibility;API security;Data encryption,Account visibility
M2-16. Which AWS service provides infrastructure security optimization recommendations?,AWS Price List Application Programming Interface (API);Reserved Instances;AWS Trusted Advisor;Amazon Elastic Compute Cloud (Amazon EC2) Spot Fleet,AWS Trusted Advisor
M3-1. Which component of AWS global infrastructure does Amazon CloudFront use to ensure low-latency delivery?,AWS Regions;AWS edge locations;AWS Availability Zones;Amazon Virtual Private Cloud (Amazon VPC),AWS edge locations​
M3-2. What is an AWS Region?,An Availability Zone&c Data Center;An Edge Location;A geographical area with multiple Availability Zones,A geographical area with multiple Availability Zones
M3-3. What are Availability Zones designed for?,High latency&c Data replication;Fault isolation;Data compression,Fault isolation
M3-4. What does AWS recommend replicating across Availability Zones?,Cost;Latency;Resources and data;Hardware,Resources and data
M3-5. Which of these is an example of an AWS Edge Location service?,AWS Lambda;Amazon S3;Amazon CloudFront;Amazon RDS,Amazon CloudFront
M3-6. What factor is critical when selecting an AWS Region?,Weather conditions;Proximity to customers&c latency;Data replication speed,Proximity to customers&c latency
M3-7. How are AWS data centers connected within a Region?,Internet;High-speed private networking;Satellite links;VPN,High-speed private networking
M3-8. How many Availability Zones are typically in an AWS Region?,1-2;2-3;3-6;7-8,3-6
M3-9. What feature do AWS Edge Locations improve?,Security;Pricing;Fault tolerance;Performance,Performance
M3-10. Which AWS service would benefit most from proximity to Edge Locations?,Amazon EC2;AWS IAM;Amazon CloudFront;AWS Lambda,Amazon CloudFront
M3-11. What is the primary purpose of Regional Edge Caches?,Data encryption;Content delivery for infrequent access;Data replication;Compute processing,Content delivery for infrequent access
M3-12. What do AWS Regions ensure for users?,Fault tolerance;Data security;Low pricing;Availability and redundancy,Availability and redundancy
M3-13. Which service offers dynamic adaption of capacity?,Amazon S3;Amazon EC2 Auto Scaling;AWS Lambda;Amazon CloudFront,Amazon EC2 Auto Scaling
M3-14. What is the approximate server capacity of an AWS data center?,10-20k servers;50-80k servers;100-150k servers;Over 200k servers,50-80k servers
M3-15. Which AWS infrastructure component is most closely related to delivering low-latency content?,Availability Zones;Regions;Edge Locations;Data Centers,Edge Locations
M3-16. AWS Regions are interconnected using what?,Dedicated fibers;Public internet;AWS backbone network;VPN tunnels,AWS backbone network
M4-1. Which of the following is AWS's responsibility under the AWS shared responsibility model?,Configuring third-party applications;Maintaining physical hardware;Securing application access and data;Managing custom Amazon Machine Images (AMIs),Maintaining physical hardware
M4-2. Who is responsible for securing the infrastructure of the AWS cloud?,Customer;AWS;Shared by customer and AWS;Third-party vendors,AWS
M4-3. What type of access does IAM manage?,Physical data center access;Access to AWS resources;Database backups;Power supply management,Access to AWS resources
M4-4. What is MFA used for?,Scaling EC2 instances;Adding extra security layer;Reducing latency;Monitoring network activity,Adding extra security layer
M4-5. Which AWS security feature monitors API calls and account activity?,AWS CloudTrail;AWS S3;AWS Cost Explorer;AWS Lambda,AWS CloudTrail
M4-6. Who is responsible for managing operating systems on Amazon EC2?,Customer;AWS;Shared responsibility;IAM,Customer
M4-7. What is the AWS service for managing encryption keys?,AWS Lambda;Amazon Cognito;AWS KMS;AWS IAM,AWS KMS
M4-8. What does IAM stand for?,Identity and Access Monitoring;Identity and Application Management;Identity and Access Management;Infrastructural Access Management,Identity and Access Management
M4-9. What is the primary use of AWS Shield?,Content distribution;DDoS protection;Data replication;Cost management,DDoS protection
M4-10. Which AWS service manages identity for millions of users?,AWS KMS;Amazon Cognito;Amazon S3;AWS Lambda,Amazon Cognito
M4-11. Which IAM policy type is attached directly to a user&c group&c or role?,Identity-based;Resource-based;Role-based;User-specific,Identity-based
M4-12. What is an IAM Role used for?,Managing services across Regions;Granting temporary access permissions;Creating EC2 instances;Monitoring resource usage,Granting temporary access permissions
M4-13. Which of these IAM best practices should be implemented first?,Enable MFA for users;Create IAM roles for services;Disable root user;Restrict EC2 instance access,Disable root user
M4-14. What is the AWS service for continuous monitoring of configurations?,AWS Config;Amazon RDS;AWS CloudTrail;AWS Shield,AWS Config
M4-15. What is a Service Control Policy (SCP) used for?,Controlling costs;Managing services within an organization;Encrypting data;Restricting permissions at the account level,Restricting permissions at the account level
M4-16. Which type of encryption is used to protect data at rest in AWS?,TLS;SSL;AWS KMS;Server-side encryption,Server-side encryption
